TIME,RATE
0.00E+00,0.00E+00
1.60E+01,0.00E+00
3.20E+01,0.00E+00
4.80E+01,0.00E+00
6.40E+01,0.00E+00
8.00E+01,0.00E+00
9.60E+01,0.00E+00
1.12E+02,0.00E+00
1.28E+02,0.00E+00
1.44E+02,0.00E+00
1.60E+02,0.00E+00
1.76E+02,6.25E-02
1.92E+02,0.00E+00
2.08E+02,0.00E+00
2.24E+02,0.00E+00
2.40E+02,0.00E+00
2.56E+02,0.00E+00
2.72E+02,0.00E+00
2.88E+02,0.00E+00
3.04E+02,0.00E+00
3.20E+02,0.00E+00
3.36E+02,0.00E+00
3.52E+02,0.00E+00
3.68E+02,0.00E+00
3.84E+02,6.25E-02
4.00E+02,0.00E+00
4.16E+02,0.00E+00
4.32E+02,0.00E+00
4.48E+02,0.00E+00
4.64E+02,0.00E+00
4.80E+02,0.00E+00
4.96E+02,0.00E+00
5.12E+02,0.00E+00
5.28E+02,0.00E+00
5.44E+02,6.25E-02
5.60E+02,6.25E-02
5.76E+02,1.25E-01
5.92E+02,6.25E-02
6.08E+02,0.00E+00
6.24E+02,0.00E+00
6.40E+02,6.25E-02
6.56E+02,1.25E-01
6.72E+02,6.25E-02
6.88E+02,0.00E+00
7.04E+02,1.25E-01
7.20E+02,6.25E-02
7.36E+02,6.25E-02
7.52E+02,1.25E-01
7.68E+02,0.00E+00
7.84E+02,0.00E+00
8.00E+02,6.25E-02
8.16E+02,0.00E+00
8.32E+02,0.00E+00
8.48E+02,0.00E+00
8.64E+02,0.00E+00
8.80E+02,0.00E+00
8.96E+02,1.25E-01
9.12E+02,0.00E+00
9.28E+02,6.25E-02
9.44E+02,0.00E+00
9.60E+02,1.88E-01
9.76E+02,0.00E+00
9.92E+02,0.00E+00
1.01E+03,0.00E+00
1.02E+03,6.25E-02
1.04E+03,0.00E+00
1.06E+03,0.00E+00
1.07E+03,0.00E+00
1.09E+03,6.25E-02
1.10E+03,6.25E-02
1.12E+03,0.00E+00
1.14E+03,0.00E+00
1.15E+03,0.00E+00
1.17E+03,0.00E+00
1.18E+03,0.00E+00
1.20E+03,0.00E+00
1.22E+03,6.25E-02
1.23E+03,0.00E+00
1.25E+03,1.25E-01
1.26E+03,6.25E-02
1.28E+03,0.00E+00
1.30E+03,0.00E+00
1.31E+03,1.25E-01
1.33E+03,6.25E-02
1.34E+03,1.25E-01
1.36E+03,0.00E+00
1.38E+03,0.00E+00
1.39E+03,6.25E-02
1.41E+03,6.25E-02
1.42E+03,1.25E-01
1.44E+03,0.00E+00
1.46E+03,6.25E-02
1.47E+03,6.25E-02
1.49E+03,0.00E+00
1.50E+03,0.00E+00
1.52E+03,0.00E+00
1.54E+03,0.00E+00
1.55E+03,0.00E+00
1.57E+03,0.00E+00
1.58E+03,6.25E-02
1.60E+03,0.00E+00
1.62E+03,1.25E-01
1.63E+03,0.00E+00
1.65E+03,6.25E-02
1.66E+03,6.25E-02
1.68E+03,0.00E+00
1.70E+03,0.00E+00
1.71E+03,1.25E-01
1.73E+03,0.00E+00
1.74E+03,0.00E+00
1.76E+03,6.25E-02
1.78E+03,6.25E-02
1.79E+03,6.25E-02
1.81E+03,0.00E+00
1.82E+03,0.00E+00
1.84E+03,0.00E+00
1.86E+03,6.25E-02
1.87E+03,0.00E+00
1.89E+03,6.25E-02
1.90E+03,1.25E-01
1.92E+03,0.00E+00
1.94E+03,0.00E+00
1.95E+03,0.00E+00
1.97E+03,1.25E-01
1.98E+03,0.00E+00
2.00E+03,0.00E+00
2.02E+03,6.25E-02
2.03E+03,6.25E-02
2.05E+03,0.00E+00
2.06E+03,0.00E+00
2.08E+03,0.00E+00
2.10E+03,0.00E+00
3.01E+03,0.00E+00
3.02E+03,0.00E+00
3.04E+03,0.00E+00
3.06E+03,0.00E+00
3.07E+03,0.00E+00
3.09E+03,0.00E+00
3.10E+03,6.25E-02
3.12E+03,6.25E-02
3.14E+03,0.00E+00
3.15E+03,0.00E+00
3.17E+03,6.25E-02
3.18E+03,6.25E-02
3.20E+03,6.25E-02
3.22E+03,0.00E+00
3.23E+03,1.25E-01
3.25E+03,6.25E-02
3.26E+03,6.25E-02
3.28E+03,0.00E+00
3.30E+03,0.00E+00
3.31E+03,1.25E-01
3.33E+03,1.25E-01
3.34E+03,0.00E+00
3.36E+03,0.00E+00
3.38E+03,6.25E-02
3.39E+03,6.25E-02
3.41E+03,0.00E+00
3.42E+03,0.00E+00
3.44E+03,6.25E-02
3.46E+03,1.88E-01
3.47E+03,6.25E-02
3.49E+03,0.00E+00
3.50E+03,0.00E+00
3.52E+03,6.25E-02
3.54E+03,0.00E+00
3.55E+03,0.00E+00
3.57E+03,6.26E-02
5.76E+03,0.00E+00
5.78E+03,0.00E+00
5.79E+03,0.00E+00
5.81E+03,0.00E+00
5.82E+03,0.00E+00
5.84E+03,0.00E+00
5.86E+03,0.00E+00
5.87E+03,0.00E+00
5.89E+03,0.00E+00
5.90E+03,0.00E+00
5.92E+03,0.00E+00
5.94E+03,0.00E+00
5.95E+03,0.00E+00
5.97E+03,0.00E+00
5.98E+03,0.00E+00
6.00E+03,0.00E+00
6.02E+03,0.00E+00
6.03E+03,0.00E+00
6.05E+03,0.00E+00
6.06E+03,0.00E+00
6.08E+03,0.00E+00
6.10E+03,0.00E+00
6.11E+03,0.00E+00
6.13E+03,0.00E+00
6.14E+03,0.00E+00
6.16E+03,0.00E+00
6.18E+03,0.00E+00
6.19E+03,0.00E+00
6.21E+03,0.00E+00
6.22E+03,0.00E+00
6.24E+03,0.00E+00
7.50E+03,0.00E+00
7.52E+03,0.00E+00
7.54E+03,0.00E+00
7.55E+03,0.00E+00
7.57E+03,0.00E+00
7.58E+03,0.00E+00
7.60E+03,0.00E+00
7.62E+03,1.25E-01
7.63E+03,1.25E-01
7.65E+03,1.88E-01
7.66E+03,6.25E-02
7.68E+03,0.00E+00
7.70E+03,6.25E-02
7.71E+03,1.88E-01
7.73E+03,0.00E+00
7.74E+03,1.25E-01
7.76E+03,6.25E-02
7.78E+03,6.25E-02
7.79E+03,1.25E-01
7.81E+03,6.25E-02
7.82E+03,6.25E-02
7.84E+03,6.25E-02
7.86E+03,6.25E-02
7.87E+03,6.25E-02
7.89E+03,0.00E+00
7.90E+03,1.25E-01
7.92E+03,6.25E-02
7.94E+03,6.25E-02
7.95E+03,6.25E-02
7.97E+03,0.00E+00
7.98E+03,6.25E-02
8.00E+03,0.00E+00
8.02E+03,0.00E+00
8.03E+03,0.00E+00
8.05E+03,0.00E+00
8.06E+03,0.00E+00
8.08E+03,0.00E+00
8.10E+03,0.00E+00
8.11E+03,0.00E+00
8.13E+03,0.00E+00
8.14E+03,0.00E+00
8.16E+03,0.00E+00
8.18E+03,0.00E+00
8.19E+03,0.00E+00
8.21E+03,0.00E+00
8.77E+03,0.00E+00
8.78E+03,0.00E+00
8.80E+03,0.00E+00
8.82E+03,0.00E+00
8.83E+03,0.00E+00
8.85E+03,0.00E+00
8.86E+03,0.00E+00
8.88E+03,0.00E+00
8.90E+03,1.88E-01
8.91E+03,1.25E-01
8.93E+03,1.25E-01
8.94E+03,0.00E+00
8.96E+03,6.25E-02
8.98E+03,0.00E+00
8.99E+03,6.25E-02
9.01E+03,0.00E+00
9.02E+03,1.25E-01
9.04E+03,2.50E-01
9.06E+03,1.88E-01
9.07E+03,1.25E-01
9.09E+03,0.00E+00
9.10E+03,0.00E+00
9.12E+03,6.25E-02
9.14E+03,6.25E-02
9.15E+03,6.25E-02
9.17E+03,1.25E-01
9.18E+03,0.00E+00
9.20E+03,6.25E-02
9.22E+03,1.25E-01
9.23E+03,6.25E-02
9.25E+03,1.25E-01
9.26E+03,6.25E-02
9.28E+03,6.25E-02
9.30E+03,0.00E+00
9.31E+03,6.25E-02
9.33E+03,0.00E+00
1.15E+04,0.00E+00
1.15E+04,0.00E+00
1.15E+04,0.00E+00
1.16E+04,0.00E+00
1.16E+04,0.00E+00
1.16E+04,0.00E+00
1.16E+04,0.00E+00
1.16E+04,0.00E+00
1.16E+04,0.00E+00
1.16E+04,0.00E+00
1.17E+04,0.00E+00
1.17E+04,0.00E+00
1.17E+04,0.00E+00
1.17E+04,0.00E+00
1.17E+04,0.00E+00
1.17E+04,0.00E+00
1.18E+04,0.00E+00
1.18E+04,0.00E+00
1.18E+04,0.00E+00
1.18E+04,0.00E+00
1.18E+04,0.00E+00
1.18E+04,0.00E+00
1.19E+04,0.00E+00
1.19E+04,0.00E+00
1.19E+04,0.00E+00
1.19E+04,0.00E+00
1.19E+04,0.00E+00
1.19E+04,0.00E+00
1.20E+04,0.00E+00
1.20E+04,0.00E+00
1.20E+04,0.00E+00
1.20E+04,0.00E+00
1.20E+04,0.00E+00
1.20E+04,6.25E-02
1.20E+04,0.00E+00
1.21E+04,0.00E+00
1.21E+04,1.25E-01
1.21E+04,6.25E-02
1.21E+04,0.00E+00
1.21E+04,6.25E-02
1.21E+04,6.25E-02
1.22E+04,1.25E-01
1.22E+04,6.25E-02
1.22E+04,6.25E-02
1.22E+04,6.25E-02
1.22E+04,6.25E-02
1.22E+04,0.00E+00
1.23E+04,0.00E+00
1.23E+04,0.00E+00
1.23E+04,0.00E+00
1.23E+04,0.00E+00
1.23E+04,6.25E-02
1.23E+04,0.00E+00
1.24E+04,1.25E-01
1.24E+04,0.00E+00
1.24E+04,0.00E+00
1.24E+04,6.25E-02
1.24E+04,1.25E-01
1.24E+04,0.00E+00
1.24E+04,6.25E-02
1.25E+04,0.00E+00
1.25E+04,0.00E+00
1.25E+04,6.25E-02
1.25E+04,6.25E-02
1.25E+04,6.25E-02
1.25E+04,6.25E-02
1.26E+04,6.25E-02
1.26E+04,0.00E+00
1.26E+04,1.25E-01
1.26E+04,6.25E-02
1.26E+04,6.25E-02
1.26E+04,0.00E+00
1.27E+04,0.00E+00
1.27E+04,1.88E-01
1.27E+04,0.00E+00
1.27E+04,0.00E+00
1.27E+04,0.00E+00
1.27E+04,0.00E+00
1.28E+04,0.00E+00
1.28E+04,0.00E+00
1.28E+04,0.00E+00
1.28E+04,6.25E-02
1.28E+04,0.00E+00
1.28E+04,0.00E+00
1.28E+04,0.00E+00
1.29E+04,6.25E-02
1.29E+04,0.00E+00
1.29E+04,0.00E+00
1.29E+04,6.25E-02
1.29E+04,0.00E+00
1.29E+04,0.00E+00
1.30E+04,0.00E+00
1.30E+04,6.25E-02
1.30E+04,0.00E+00
1.30E+04,6.25E-02
1.30E+04,6.25E-02
1.30E+04,0.00E+00
1.31E+04,6.25E-02
1.31E+04,1.25E-01
1.31E+04,1.25E-01
1.31E+04,1.25E-01
1.31E+04,6.25E-02
1.31E+04,0.00E+00
1.32E+04,1.25E-01
1.32E+04,6.25E-02
1.32E+04,0.00E+00
1.32E+04,6.25E-02
1.32E+04,6.25E-02
1.32E+04,6.25E-02
1.32E+04,0.00E+00
1.33E+04,1.25E-01
1.33E+04,0.00E+00
1.33E+04,6.25E-02
1.33E+04,0.00E+00
1.33E+04,1.25E-01
1.33E+04,0.00E+00
1.34E+04,0.00E+00
1.34E+04,0.00E+00
1.34E+04,6.25E-02
1.34E+04,0.00E+00
1.34E+04,1.25E-01
1.34E+04,6.25E-02
1.35E+04,6.25E-02
1.35E+04,0.00E+00
1.35E+04,6.25E-02
1.35E+04,6.25E-02
1.35E+04,6.25E-02
1.35E+04,0.00E+00
1.36E+04,0.00E+00
1.36E+04,1.25E-01
1.36E+04,1.25E-01
1.36E+04,6.25E-02
1.36E+04,0.00E+00
1.36E+04,0.00E+00
1.36E+04,6.25E-02
1.37E+04,0.00E+00
1.37E+04,6.25E-02
1.37E+04,0.00E+00
1.37E+04,0.00E+00
1.37E+04,0.00E+00
1.37E+04,6.25E-02
1.38E+04,0.00E+00
1.38E+04,0.00E+00
1.38E+04,0.00E+00
1.38E+04,6.25E-02
1.38E+04,6.25E-02
1.38E+04,0.00E+00
1.39E+04,6.25E-02
1.39E+04,6.25E-02
1.39E+04,6.25E-02
1.39E+04,0.00E+00
1.39E+04,0.00E+00
1.39E+04,1.25E-01
1.40E+04,6.25E-02
1.40E+04,0.00E+00
1.40E+04,0.00E+00
1.40E+04,0.00E+00
1.40E+04,6.25E-02
1.40E+04,6.25E-02
1.40E+04,6.25E-02
1.41E+04,6.25E-02
1.41E+04,6.25E-02
1.41E+04,6.25E-02
1.41E+04,0.00E+00
1.41E+04,6.25E-02
1.41E+04,0.00E+00
1.42E+04,1.25E-01
1.42E+04,1.25E-01
1.42E+04,1.25E-01
1.42E+04,6.25E-02
1.42E+04,0.00E+00
1.42E+04,0.00E+00
1.43E+04,1.88E-01
1.43E+04,6.25E-02
1.43E+04,0.00E+00
1.43E+04,0.00E+00
1.43E+04,0.00E+00
1.43E+04,0.00E+00
1.44E+04,0.00E+00
1.44E+04,6.25E-02
1.44E+04,6.25E-02
1.44E+04,1.25E-01
1.44E+04,6.25E-02
1.44E+04,6.25E-02
1.44E+04,1.25E-01
1.45E+04,0.00E+00
1.45E+04,6.25E-02
1.45E+04,0.00E+00
1.45E+04,1.25E-01
1.45E+04,6.25E-02
1.45E+04,6.25E-02
1.46E+04,0.00E+00
1.46E+04,0.00E+00
1.46E+04,6.25E-02
1.46E+04,0.00E+00
1.46E+04,0.00E+00
1.46E+04,1.25E-01
1.47E+04,0.00E+00
1.47E+04,0.00E+00
1.47E+04,6.25E-02
1.47E+04,0.00E+00
1.47E+04,1.25E-01
1.47E+04,1.88E-01
1.48E+04,0.00E+00
1.48E+04,1.88E-01
1.48E+04,1.88E-01
1.48E+04,0.00E+00
1.48E+04,6.25E-02
1.48E+04,0.00E+00
1.48E+04,6.25E-02
1.49E+04,6.25E-02
1.49E+04,0.00E+00
1.49E+04,6.25E-02
1.49E+04,0.00E+00
1.49E+04,0.00E+00
1.49E+04,6.25E-02
1.50E+04,0.00E+00
1.50E+04,6.25E-02
1.50E+04,0.00E+00
1.50E+04,6.25E-02
1.50E+04,1.88E-01
1.50E+04,0.00E+00
1.51E+04,6.25E-02
1.51E+04,0.00E+00
1.51E+04,1.25E-01
1.51E+04,0.00E+00
1.51E+04,0.00E+00
1.51E+04,6.25E-02
1.52E+04,6.25E-02
1.52E+04,6.25E-02
1.52E+04,1.25E-01
1.52E+04,6.25E-02
1.52E+04,0.00E+00
1.52E+04,6.25E-02
1.52E+04,0.00E+00
1.53E+04,1.25E-01
1.53E+04,1.25E-01
1.76E+04,0.00E+00
1.76E+04,0.00E+00
1.82E+04,6.25E-02
1.82E+04,0.00E+00
1.82E+04,0.00E+00
1.82E+04,6.25E-02
1.83E+04,6.25E-02
1.83E+04,6.25E-02
1.83E+04,0.00E+00
1.83E+04,6.25E-02
1.83E+04,0.00E+00
1.83E+04,6.25E-02
1.84E+04,0.00E+00
1.84E+04,0.00E+00
1.84E+04,6.25E-02
1.84E+04,0.00E+00
1.84E+04,0.00E+00
1.84E+04,6.25E-02
1.84E+04,0.00E+00
1.85E+04,1.25E-01
1.85E+04,0.00E+00
1.85E+04,1.88E-01
4.14E+04,0.00E+00
4.14E+04,0.00E+00
4.14E+04,0.00E+00
4.14E+04,6.30E-02
4.38E+04,0.00E+00
4.38E+04,0.00E+00
4.38E+04,0.00E+00
4.38E+04,0.00E+00
4.38E+04,6.25E-02
4.38E+04,0.00E+00
4.39E+04,0.00E+00
4.39E+04,6.25E-02
4.39E+04,1.88E-01
4.39E+04,1.25E-01
4.39E+04,0.00E+00
4.39E+04,0.00E+00
4.40E+04,1.25E-01
4.40E+04,6.25E-02
4.40E+04,1.25E-01
4.40E+04,1.25E-01
4.40E+04,1.88E-01
4.40E+04,1.25E-01
4.40E+04,1.88E-01
4.41E+04,0.00E+00
4.41E+04,0.00E+00
4.41E+04,6.25E-02
4.41E+04,0.00E+00
4.41E+04,0.00E+00
4.41E+04,6.25E-02
4.42E+04,6.25E-02
4.42E+04,6.25E-02
4.42E+04,0.00E+00
4.42E+04,0.00E+00
4.42E+04,6.25E-02
4.42E+04,1.25E-01
4.43E+04,0.00E+00
4.43E+04,0.00E+00
4.43E+04,0.00E+00
4.43E+04,0.00E+00
4.43E+04,6.25E-02
4.43E+04,6.25E-02
4.44E+04,6.25E-02
4.44E+04,1.25E-01
4.44E+04,0.00E+00
4.44E+04,0.00E+00
4.44E+04,6.25E-02
4.44E+04,0.00E+00
4.44E+04,6.25E-02
4.45E+04,0.00E+00
4.45E+04,0.00E+00
4.45E+04,6.25E-02
4.45E+04,6.25E-02
4.45E+04,6.25E-02
4.45E+04,0.00E+00
4.46E+04,6.25E-02
4.46E+04,0.00E+00
4.46E+04,0.00E+00
4.46E+04,6.25E-02
4.46E+04,0.00E+00
4.46E+04,0.00E+00
4.47E+04,0.00E+00
4.47E+04,6.25E-02
4.47E+04,0.00E+00
4.47E+04,0.00E+00
4.47E+04,1.25E-01
4.47E+04,1.25E-01
4.48E+04,0.00E+00
4.48E+04,0.00E+00
4.48E+04,0.00E+00
4.48E+04,0.00E+00
4.48E+04,0.00E+00
4.48E+04,6.25E-02
4.48E+04,6.25E-02
4.49E+04,6.25E-02
4.49E+04,6.25E-02
4.49E+04,0.00E+00
4.49E+04,0.00E+00
4.49E+04,0.00E+00
4.49E+04,0.00E+00
4.50E+04,6.25E-02
4.50E+04,0.00E+00
4.50E+04,0.00E+00
4.50E+04,0.00E+00
4.50E+04,0.00E+00
4.50E+04,0.00E+00
4.51E+04,0.00E+00
4.51E+04,0.00E+00
4.51E+04,0.00E+00
4.51E+04,0.00E+00
4.51E+04,0.00E+00
4.51E+04,0.00E+00
4.52E+04,0.00E+00
4.52E+04,0.00E+00
4.52E+04,0.00E+00
4.52E+04,0.00E+00
4.52E+04,0.00E+00
4.52E+04,0.00E+00
4.52E+04,6.25E-02
4.53E+04,6.25E-02
4.53E+04,0.00E+00
4.53E+04,0.00E+00
4.53E+04,0.00E+00
4.53E+04,0.00E+00
4.53E+04,6.25E-02
